Integer Class 	Learn just about everything in the Integer wrapper class.
Integer equals() == 	Learn about the differences bewteen equals() and ==
Byte Class 	Learn just about everything in the Byte wrapper class.
Short Class 	Learn just about everything in the Short wrapper class.
Long Class 	Learn just about everything in the Long wrapper class.
